Transcript.ID,Cluster,MED16_WT,MED2_WT,MED2_16D,MED3_WT,MED3_16D,MED15_WT,MED15_16D,MED5_WT,MED5_16D,MED8_WT,MED8_16D,MED9_WT,MED9_16D,MED14_WT,MED14_16D,MED13_WT,MED13_16D,Free.MNase_WT,Free.MNase_16D,Med2_med16AID_DMSO,Med2_med16AID_IAA,Med5_med16AID_DMSO,Med5_med16AID_IAA,Med14_med16AID_DMSO,Med14_med16AID_IAA
YAL013W,Med16_up,0.56903119,-1.780889797,-2.798233138,-1.98000677,-2.642071446,-0.729943806,-2.747218443,-0.536197586,0.05121154,-0.161773502,0.183289986,-0.282119112,0.11753234,-1.104064303,-0.208815671,-0.051162448,-0.839612638,0.480537176,0.637893031,-0.924718501,-0.373449062,-0.543745934,-0.05375083,-1.368550756,-0.327355321
YAL015C,Med16_up,1.268635414,2.572098307,2.705526345,1.41566338,1.83955942,1.660968463,2.676896751,1.055979268,0.60473772,1.182320919,1.465244074,1.173678909,0.952010061,1.659345958,0.911790517,0.803612158,0.895692914,0.229861045,0.784216867,0.999397388,1.23534931,1.09835913,0.637681329,0.910721735,0.669243812
YAL017W,Med16_up,0.892892513,1.791746637,2.844653228,1.137712337,1.716418092,1.415283935,1.829701154,0.473305125,0.554678561,0.611453253,1.244150892,0.775886971,0.574272949,0.962208211,0.428720706,0.174542068,0.573879141,0.443261923,0.721169231,0.378503012,0.930869012,0.175988112,0.47908281,0.289212213,0.358721102
YAL028W,Med16_up,1.036471304,1.900346363,2.682288532,2.297200859,2.535172671,1.315555127,2.355903348,0.616863238,0.730025273,0.47592994,0.771877067,0.840286008,0.351172411,1.27981231,0.768476916,0.666323466,1.155824547,1.373795201,0.480490817,1.10374596,1.128102582,0.917493527,0.78582454,1.285775161,0.555650378
YAL032C,Med16_up,-0.120694102,-2.637445205,-1.9036836,-1.446864587,-0.846257009,-1.303342424,-1.442370027,-0.06782843,0.419091385,-0.304261401,0.584350498,0.063296705,0.468127871,0.0040173,0.45066073,0.325162746,-0.016601845,0.981469352,0.534104769,-0.1615582,0.247832729,0.296924669,0.478860038,0.090741452,0.258210679
YAL034C,Med16_up,0.998835892,1.701233268,0.638597107,1.283554708,-0.119002833,1.732037591,0.778325092,0.527863702,0.729775377,0.488818014,0.637977849,0.503197191,0.576224556,0.62121023,0.721618576,0.486306105,0.203648377,1.203857337,0.457576549,0.030860746,0.2342387,0.255449661,0.588219036,-0.037535784,0.60816274
YAL038W,Med16_down,5.731280878,7.923522635,8.693205841,6.481842712,8.282627273,7.127732331,8.820490862,5.335503657,2.067714605,2.755912725,2.476291869,2.251001117,2.657687655,6.967352152,3.309337174,4.725737865,1.955645712,0.620297066,0.59956947,5.834856093,5.441926679,5.669267332,2.402756442,6.891845792,4.657319942
YAL039C,Med16_up,0.188631472,-0.724978806,-0.561970062,-0.426520625,0.46873467,-0.404330131,-0.600522209,-0.120577374,0.368648156,0.517821483,0.568876792,0.785239344,0.897487022,0.108303049,0.412213408,-0.104228438,0.809290596,1.023074233,0.296663231,0.661690473,0.660669434,0.585400893,0.832119467,0.119674829,0.434488018
YAL040C,Med16_up,4.685067923,9.763608162,10.0278028,9.068197416,7.766678973,7.119428286,9.320595049,4.833954822,2.090474577,2.5979989,2.75939416,3.158417815,3.085804162,6.659297547,3.189290461,4.688633249,3.322972201,0.544634699,1.069761574,5.593000128,4.988570096,4.9987152,2.131736087,6.882461306,3.87308396
YAL042W,Med16_up,0.152406157,-2.332906799,-2.423576124,-2.428295975,-0.42873269,-0.950270503,-2.761865407,-0.229219007,0.31155356,-0.150213608,0.194707319,-0.694603818,-0.3606624,-0.382987259,0.340316139,0.1660077,-0.671196345,0.040900754,0.365223799,-0.165845534,-0.085184714,-0.104157775,-0.002441343,-0.489499978,-0.020367838
