Transcript.ID,Cluster,Med8_Wt,Med8_med16D,Med5_Wt,Med5_med16D,noTag_Wt,noTag_med16D
YAL013W,Med16_up,-1.844884785,-0.97262331,-2.285989722,-0.207433329,-0.144147222,-0.10648292
YAL015C,Med16_up,0.557765773,0.800445063,0.410155164,0.086428015,0.163742675,0.174198334
YAL017W,Med16_up,2.272875571,1.838112021,1.112824203,0.012284707,0.004555845,-0.097930408
YAL028W,Med16_up,1.326504206,1.030264635,1.33426112,0.073181891,-0.206845376,-0.0705838
YAL032C,Med16_up,0.575001406,0.58881442,0.279647516,-0.005823183,-0.00404173,-0.173606232
YAL034C,Med16_up,2.14690751,1.105943318,1.622836765,0.167676353,0.067339358,0.157454082
YAL038W,Med16_down,3.50379194,2.918760841,2.571798547,0.052493347,-0.465246203,-0.001466954
YAL039C,Med16_up,-0.548298952,0.05417737,-1.310263016,-0.129360041,-0.057100407,-0.306832015
YAL040C,Med16_up,2.693664332,2.651958144,1.808595724,0.26041862,0.122759608,0.067710823
YAL042W,Med16_up,1.075983453,1.105054347,0.790816984,0.115098117,-0.061208514,-0.037902641
YAL054C,Med16_up,-0.840551009,-0.881702399,-0.256793122,0.039531276,0.012002768,0.137107724
YAL061W,Med16_up,1.046709457,-0.061084116,0.725598788,0.070888872,-0.215028697,-0.014421121
YAL062W,Med16_up,-1.086110156,-0.508066401,-1.457579677,-0.157089962,0.18221871,-0.172647325
YAL067C,Med16_down,1.052547042,1.218973028,0.966688167,0.076244944,0.076888859,0.075318512
YAR014C,Med16_up,1.815830448,2.25288973,1.085453768,-0.144246356,-0.299987815,-0.133924251
YAR018C,Med16_up,1.550811586,1.619991759,1.138391572,-0.106046393,-0.250219193,-0.221356988
YAR019C,Med16_up,0.657315665,0.632157618,0.264012728,0.023557506,0.008377653,0.130935229
YAR042W,Med16_up,1.150242337,1.104895494,0.77725512,0.173226859,0.157670458,0.338630638
YBL007C,Med16_up,2.207879699,2.063926594,1.66742707,0.268558344,0.220222235,0.114068453
YBL011W,Med16_up,1.422715221,1.210169523,1.04560421,-0.054942348,-0.205702603,-0.042754312
YBL013W,Med16_up,-0.423365194,0.039551447,-0.464693777,0.077891608,0.141628441,0.253772721
YBL014C,Med16_up,1.08432991,1.16244317,0.645790557,0.08330872,0.064542066,0.15829923
YBL015W,Med16_up,1.363024932,0.904866957,0.905530338,0.119717716,0.123049581,0.169868851
YBL019W,Med16_up,0.262345789,0.172188256,0.219047708,-0.085678825,-0.206522566,-0.172478788
YBL020W,Med16_up,0.943947174,1.103606629,0.518989295,0.204677988,0.334680897,0.567259275
YBL030C,Med16_up,2.651203028,1.983156029,1.922848783,-0.019747714,-0.101950648,-0.128664184
YBL045C,Med16_up,2.58203895,1.990824104,1.737655873,0.022882501,-0.27799707,-0.151519736
YBL049W,Med16_up,-0.198114245,-0.300067198,-0.247992539,-0.021674925,0.147811226,0.096221871
YBL066C,Med16_up,1.332902122,1.555078149,0.83856381,0.058440184,0.010559952,0.151719598
YBL099W,Med16_up,2.926432327,2.456575999,2.082323327,0.190018293,0.202542227,0.187634986
YBR008C,Med16_down,2.560422576,2.75539167,2.73910031,0.415578433,-0.018831378,-0.037068304
YBR009C,Med16_up,1.871213461,1.489200471,2.346709091,0.162900552,-0.453479462,-0.331346233
YBR016W,Med16_up,0.753149092,0.785266463,0.730494206,0.228123166,-0.027325022,0.043356371
YBR021W,Med16_up,-0.455048047,-0.562833672,-0.267378526,-0.330919132,-0.364258397,-0.218149196
YBR023C,Med16_up,1.777943484,1.814737183,1.145690101,0.05733606,0.083896823,0.199018613
YBR024W,Med16_up,0.285360292,0.1951362,0.236508589,0.086003509,0.145145719,0.067925111
YBR033W,Med16_up,0.670146547,0.626503498,0.450826439,0.015905989,0.178279035,0.210709245
YBR037C,Med16_up,0.106319604,0.03688911,0.558738801,0.277166503,-0.006839326,0.1336589
YBR039W,Med16_up,1.728503026,1.640674901,1.154348617,0.076622524,-0.061495604,-0.014306098
YBR044C,Med16_up,0.392771649,0.141902651,0.127054259,0.056395368,0.035332739,0.062429039
YBR050C,Med16_up,-0.48498395,-0.96554339,-0.545225111,-0.170520124,-0.012399666,-0.109154708
YBR053C,Med16_up,-0.783498817,-0.159762177,-0.632985831,-0.075753911,-0.116485696,-0.149440726
YBR054W,Med16_up,0.257876734,-1.558524789,-0.042869454,-0.24541129,-0.204698348,-0.129228923
