"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Transcript.ID"
"YAL012W"	1984.78438604958	0.273466090207009	0.15272859809705	1.79053624281444	0.0733677462502574	0.436809153290941	"YAL012W"
"YAL069W"	0	NA	NA	NA	NA	NA	"YAL069W"
"YAL068W-A"	0	NA	NA	NA	NA	NA	"YAL068W-A"
"YAL068C"	2.36854329743098	0.168361747474953	1.06422534615431	0.158201219397139	0.874298242914958	NA	"YAL068C"
"YAL067W-A"	0	NA	NA	NA	NA	NA	"YAL067W-A"
"YAL067C"	53.1666456615388	0.947239178461237	0.222952768612353	4.24860917564202	2.15101810679707e-05	0.000924123316187149	"YAL067C"
"YAL066W"	1.43960720927571	0.313351000374517	1.18112256754698	0.265299308458141	0.790778897199896	NA	"YAL066W"
"YAL065C"	1.39799967847563	-1.27764305705372	1.37665652100297	-0.928076856907549	0.353367703519292	NA	"YAL065C"
"YAL064W-B"	50.3535811322298	0.104397505042108	0.266484060043103	0.391758910552557	0.695236357747948	0.857762962995327	"YAL064W-B"
"YAL064C-A"	9.67830496170735	0.384649118691009	0.565874585082509	0.679742700646159	0.496667393459727	0.770382964887253	"YAL064C-A"
"YAL064W"	3.25348318152858	1.18284101494965	0.888315113662896	1.33155565717248	0.183006244348262	0.59978358022032	"YAL064W"
"YAL063C-A"	17.6973144972772	0.592780970263926	0.391690497300587	1.51339124729651	0.130180306966158	0.540673261165976	"YAL063C-A"
"YAL063C"	41.7611172202339	0.139988831005382	0.256005739341181	0.546819111812245	0.584503011578765	0.803857919656458	"YAL063C"
"YAL062W"	68.6118936421917	0.756552638039351	0.212332870175368	3.56305002336429	0.000366570792369918	0.0105989822884757	"YAL062W"
"YAL061W"	129.852186226815	0.287100852861097	0.177648645260911	1.61611619632356	0.106069193104491	0.505501682910439	"YAL061W"
"YAL060W"	799.252919751704	-0.235467846243244	0.140536558169912	-1.67549176747703	0.0938377849853105	0.486271181046188	"YAL060W"
"YAL059C-A"	3.37420436544648	1.11060309104446	0.9038106301839	1.22880065132502	0.219146557279404	0.627682637021631	"YAL059C-A"
"YAL059W"	435.210001002597	0.0662448133706524	0.178978609234331	0.37012698698491	0.711287875046324	0.864503746762859	"YAL059W"
"YAL058W"	334.394542675492	0.108057690448701	0.162314258381868	0.66573135056613	0.505582831076634	0.773896051562821	"YAL058W"
"YAL056C-A"	2.08361074313448	1.05028184282273	1.05639724430526	0.994211077778275	0.320120116057013	NA	"YAL056C-A"
"YAL056W"	986.847173707495	0.160456668909151	0.127945412931247	1.25410255227653	0.209804732812757	0.621063064133464	"YAL056W"
"YAL055W"	155.773353557598	0.120848993728243	0.168559084520281	0.716953310894982	0.473402905771405	0.762283398651274	"YAL055W"
"YAL054C"	95.7937955106212	0.106476015033711	0.22160910437662	0.48046769257619	0.630894870522006	0.827600287079913	"YAL054C"
"YAL053W"	2037.81555294828	-0.0318878819116762	0.141302844066984	-0.225670488957461	0.821457712407717	0.915204453554542	"YAL053W"
"YAL051W"	608.013666357794	0.101642036599704	0.135765146003741	0.748660754188737	0.454061703822765	0.75298971106098	"YAL051W"
"YAL049C"	440.478612799918	0.209759351774329	0.144666043926755	1.44995567778525	0.147070879359481	0.558165700045449	"YAL049C"
"YAL048C"	461.875336582329	0.0838859619292233	0.149552261559666	0.56091403135188	0.574856144230729	0.80005888521103	"YAL048C"
"YAL047W-A"	1.74714678173435	-2.35702805817986	1.40306813926351	-1.67990990046791	0.0929748472281246	NA	"YAL047W-A"
"YAL047C"	254.779522302338	0.117809783445033	0.157188553963122	0.749480674481375	0.453567542366192	0.752790073748667	"YAL047C"
"YAL046C"	137.34143575307	0.0801368041552174	0.182960232793917	0.438001214425006	0.66138540308522	0.839653779589072	"YAL046C"
"YAL045C"	0.715941814456512	1.02570062116162	1.8655279016328	0.549817893510936	0.582444284434112	NA	"YAL045C"
"YAL044W-A"	131.173509960833	-0.00697603151463441	0.20305937579346	-0.0343546388211596	0.972594355077228	0.989186047272669	"YAL044W-A"
"YAL044C"	171.067467062101	-0.0950653551362461	0.193127328612922	-0.492241858358546	0.622548376738803	0.823888065960611	"YAL044C"
"YAL043C"	954.173025486406	0.209622018356407	0.133196315671244	1.57378240756897	0.115537762545592	0.519352313645635	"YAL043C"
"YAL042C-A"	2.09255591420511	0.409271887465653	1.11253792354453	0.367872302421582	0.712968453707742	NA	"YAL042C-A"
"YAL042W"	1383.16717619569	0.211836910744426	0.209278502946125	1.01222489535372	0.311430535449489	0.681325956351325	"YAL042W"
"YAL041W"	996.172322812792	0.0322865460111354	0.135398777093514	0.238455226141639	0.811528038178772	0.910776354404705	"YAL041W"
"YAL040C"	1149.57348482734	-0.133862846973425	0.147701500588626	-0.906306614624422	0.364773585395523	0.706516820193138	"YAL040C"
"YAL039C"	621.383925660815	0.294973218104411	0.207169467549484	1.42382572873077	0.154496925857284	0.563686408247342	"YAL039C"
"YAL038W"	19376.1023837765	-0.961684519886074	0.153729181886345	-6.25570570327412	3.95722364091873e-10	4.12301766587447e-08	"YAL038W"
"YAL037C-B"	5.62834424622522	-1.62364420816126	0.758523082122451	-2.14053368503709	0.0323116615521539	0.289920022738667	"YAL037C-B"
"YAL037C-A"	0.474681908661644	-0.992640454379183	2.44731614481903	-0.405603688138373	0.685033818523114	NA	"YAL037C-A"
"YAL037W"	77.6426842850125	0.28790770581043	0.23884768864901	1.20540293874694	0.228047787560739	0.63142452480087	"YAL037W"
"YAL036C"	1283.19259836407	0.125236484550472	0.158097269450438	0.792148308353499	0.428274205026194	0.742524463898517	"YAL036C"
"YAL035W"	3674.26467272632	0.0756871825524685	0.147623581604253	0.512703876507816	0.608158477630426	0.815778689363962	"YAL035W"
"YAL034C-B"	0.543719317428702	2.63528226156948	2.25769800478549	1.16724303072583	0.243112237866302	NA	"YAL034C-B"
"YAL034W-A"	233.730628818324	0.0259765772794127	0.162224467361804	0.160127369821951	0.872780741353589	0.942204077890478	"YAL034W-A"
"YAL034C"	252.859893968752	0.078336906744178	0.146538238726656	0.534583378542603	0.592937979745304	0.807919777136612	"YAL034C"
"YAL033W"	154.938704670697	0.0932406008478036	0.182023173328318	0.512245771474516	0.6084790127688	0.81585060442908	"YAL033W"
"YAL032C"	335.31519809509	0.112368711983013	0.148081858180918	0.758828349153528	0.447955244836018	0.749719662821212	"YAL032C"
"YAL031W-A"	1.245460472696	-1.53447195488365	1.6401031262722	-0.935594799073009	0.349481853386095	NA	"YAL031W-A"
"YAL031C"	542.342937653088	0.00306602190855789	0.137051155788674	0.0223713684931307	0.982151719266738	0.992135153228995	"YAL031C"
"YAL030W"	217.450704664665	0.132588415787629	0.179491189281842	0.738690385406248	0.460095025345507	0.755921316249674	"YAL030W"
"YAL029C"	1693.08041844059	0.0566033661260201	0.155948100049808	0.362962845382159	0.716632639410544	0.86577589763253	"YAL029C"
"YAL028W"	164.991651383721	0.656948361598035	0.15982590090087	4.11039986569823	3.94974536949626e-05	0.00159122075119106	"YAL028W"
"YAL027W"	281.880607400499	0.228334282246956	0.138870874605722	1.64422009219165	0.100130748130212	0.495569296438059	"YAL027W"
"YAL026C-A"	6.17759455646878	-0.420963051216091	0.638409014515252	-0.65939396475429	0.5096428166562	0.776739354616247	"YAL026C-A"
"YAL026C"	1188.35193344931	0.0743421742598038	0.157319853377168	0.472554306808128	0.63653118838303	0.830969533678688	"YAL026C"
"YAL025C"	1166.99526003452	0.228435658836936	0.154337281674255	1.48010679181893	0.13884474932117	0.552936858176694	"YAL025C"
"YAL024C"	560.40356910576	0.114149680100268	0.136721076983271	0.834909164109605	0.403768854600088	0.727545782766174	"YAL024C"
"YAL023C"	2071.92523680868	0.0654064689658541	0.138287732558707	0.472973760981199	0.636231899280618	0.830758290266372	"YAL023C"
"YAL022C"	678.34143229746	0.294817504481022	0.156176636187537	1.88771836606216	0.0590637694105733	0.395262855534988	"YAL022C"
"YAL021C"	1184.60480392227	0.0826628616786865	0.154197568920307	0.536084078740622	0.591900443116085	0.80686992505087	"YAL021C"
