"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Transcript.ID"
"YAL012W"	1984.78438604958	0.199054767316991	0.153122343916101	1.29997204997109	0.193610548859463	0.315899511653729	"YAL012W"
"YAL069W"	0	NA	NA	NA	NA	NA	"YAL069W"
"YAL068W-A"	0	NA	NA	NA	NA	NA	"YAL068W-A"
"YAL068C"	2.36854329743098	0.896504698026924	0.979704073941802	0.915077033843364	0.360151190678595	NA	"YAL068C"
"YAL067W-A"	0	NA	NA	NA	NA	NA	"YAL067W-A"
"YAL067C"	53.1666456615388	0.715212082878224	0.264078631561673	2.70833001007578	0.006762274408486	0.0663591531457328	"YAL067C"
"YAL066W"	1.43960720927571	1.20567102190622	1.58124887810659	0.762480238626266	0.445773433034591	NA	"YAL066W"
"YAL065C"	1.39799967847563	0.77860823348556	1.61948072564843	0.480776474307104	0.630675372218057	NA	"YAL065C"
"YAL064W-B"	50.3535811322298	0.425697318683899	0.264281600152103	1.6107716861064	0.107229494489619	0.239635219842294	"YAL064W-B"
"YAL064C-A"	9.67830496170735	0.731073775274005	0.489265097409119	1.49422834194667	0.135115947190405	0.26475734645317	"YAL064C-A"
"YAL064W"	3.25348318152858	-0.0884720787918848	0.831508541955006	-0.106399482780866	0.915265403430247	NA	"YAL064W"
"YAL063C-A"	17.6973144972772	0.615945460323616	0.407182004239735	1.51270305148596	0.130355104130442	0.260472881410461	"YAL063C-A"
"YAL063C"	41.7611172202339	0.290437269099999	0.264322460694733	1.09879905149425	0.271855726035646	0.38440957450424	"YAL063C"
"YAL062W"	68.6118936421917	0.708000419665387	0.245981660903751	2.87826505872084	0.00399869006199984	0.0490432558663497	"YAL062W"
"YAL061W"	129.852186226815	-0.558871588483612	0.162287639877193	-3.44371012423697	0.000573790533271568	0.0129752867074574	"YAL061W"
"YAL060W"	799.252919751704	0.00792570139183945	0.139319388536619	0.0568887178955442	0.954633841574067	0.965562139372312	"YAL060W"
"YAL059C-A"	3.37420436544648	-0.0942945805188175	0.881597859420775	-0.106958722178353	0.914821726767199	NA	"YAL059C-A"
"YAL059W"	435.210001002597	0.167930381116104	0.179447845741181	0.935817203168385	0.349367312509113	0.450342322893621	"YAL059W"
"YAL058W"	334.394542675492	0.280604515061001	0.163435433529242	1.71691357866283	0.085994963506808	0.217866452403025	"YAL058W"
"YAL056C-A"	2.08361074313448	2.51276725169514	1.36348799010047	1.84289650509497	0.0653441226769475	NA	"YAL056C-A"
"YAL056W"	986.847173707495	0.225517997376889	0.127912393007223	1.76306604915251	0.0778893505233085	0.209062596742956	"YAL056W"
"YAL055W"	155.773353557598	0.271510165014058	0.176258347304198	1.54041025101335	0.123460384243202	0.25542379156416	"YAL055W"
"YAL054C"	95.7937955106212	0.313097719377874	0.219397405441932	1.42708031914599	0.153556744626595	0.283101909122088	"YAL054C"
"YAL053W"	2037.81555294828	-0.0189358776119094	0.139622437021934	-0.135622024767657	0.892120093079259	0.91471541247535	"YAL053W"
"YAL051W"	608.013666357794	0.272032649361374	0.134068663740032	2.02905467819732	0.0424527214127764	0.164090359656358	"YAL051W"
"YAL049C"	440.478612799918	0.293470874120562	0.144335576375347	2.03325390378728	0.0420268776730466	0.163322876332095	"YAL049C"
"YAL048C"	461.875336582329	0.226053559130125	0.149591831440591	1.51113571478601	0.130753876900812	0.260472881410461	"YAL048C"
"YAL047W-A"	1.74714678173435	0.155814193556833	1.26071418856581	0.12359200441306	0.901638323501038	NA	"YAL047W-A"
"YAL047C"	254.779522302338	0.295018572027393	0.156820840759099	1.88124595302093	0.059938469324663	0.186671958502726	"YAL047C"
"YAL046C"	137.34143575307	0.303180289825146	0.187593725904212	1.61615367658914	0.1060610913785	0.23807198836376	"YAL046C"
"YAL045C"	0.715941814456512	-0.626657196168809	2.10910149351592	-0.297120455367066	0.76637454804697	NA	"YAL045C"
"YAL044W-A"	131.173509960833	0.145059391949592	0.207944281160063	0.697587791981321	0.485435018432146	0.569439376231751	"YAL044W-A"
"YAL044C"	171.067467062101	-0.268543099490822	0.194251412270326	-1.38245120770144	0.166833202173994	0.293377098233673	"YAL044C"
"YAL043C"	954.173025486406	0.302312264211987	0.134249049550354	2.25187638366554	0.0243300849340771	0.12722994419183	"YAL043C"
"YAL042C-A"	2.09255591420511	-0.911899530730296	1.11943196639248	-0.81460915723982	0.415296067101614	NA	"YAL042C-A"
"YAL042W"	1383.16717619569	0.461452773099223	0.209639388199614	2.20117401153564	0.0277237073595264	0.13396706335918	"YAL042W"
"YAL041W"	996.172322812792	0.171356723916266	0.135286927843345	1.2666170091074	0.205292267567763	0.325599160808158	"YAL041W"
"YAL040C"	1149.57348482734	-0.0602239604926938	0.146407388596673	-0.411345090366993	0.680819510908789	0.738797990141348	"YAL040C"
"YAL039C"	621.383925660815	0.315052660319965	0.207011600803566	1.52190823652883	0.128032075094057	0.257711294408727	"YAL039C"
"YAL038W"	19376.1023837765	-1.086325739066	0.15377048587606	-7.06459196559727	1.61088629627115e-12	2.27449287051554e-10	"YAL038W"
"YAL037C-B"	5.62834424622522	-0.959272502523096	0.749983931513472	-1.27905740671974	0.200876841136237	NA	"YAL037C-B"
"YAL037C-A"	0.474681908661644	2.12315849919865	2.45226506949276	0.865794862721677	0.386602666924109	NA	"YAL037C-A"
"YAL037W"	77.6426842850125	0.0928251999252481	0.247207817120575	0.375494598052992	0.707292663168798	0.762868136877092	"YAL037W"
"YAL036C"	1283.19259836407	0.220148346253682	0.158272489883834	1.39094511254143	0.164242071441357	0.290597388037143	"YAL036C"
"YAL035W"	3674.26467272632	0.193605240787396	0.147753951248613	1.31032191796775	0.190086955788918	0.312706276516637	"YAL035W"
"YAL034C-B"	0.543719317428702	0.278312452510945	2.13316270268289	0.130469397463639	0.896195064448815	NA	"YAL034C-B"
"YAL034W-A"	233.730628818324	0.145920989496145	0.163525346467725	0.892344781088388	0.372208158562683	0.472628433849391	"YAL034W-A"
"YAL034C"	252.859893968752	0.195645271437194	0.145522235506377	1.34443558234522	0.178807574042275	0.30303690806166	"YAL034C"
"YAL033W"	154.938704670697	0.0995332198034614	0.179631421771939	0.554096932605863	0.579512509269493	0.653347253575561	"YAL033W"
"YAL032C"	335.31519809509	0.290584366050074	0.151003136191328	1.92435980721546	0.054309498770581	0.180273903889274	"YAL032C"
"YAL031W-A"	1.245460472696	2.43338498648192	1.71472218675365	1.41911325652633	0.155865999704031	NA	"YAL031W-A"
"YAL031C"	542.342937653088	0.141932045772339	0.136386758707417	1.04065854425662	0.298034049715942	0.406835846538421	"YAL031C"
"YAL030W"	217.450704664665	0.130102691608629	0.184545611139011	0.704989356320309	0.480816859942831	0.565167269484071	"YAL030W"
"YAL029C"	1693.08041844059	0.264970663298761	0.155820917858104	1.70048198240015	0.0890403026524048	0.221130121001618	"YAL029C"
"YAL028W"	164.991651383721	0.724123806651151	0.166210957675782	4.3566550411415	1.32065156324969e-05	0.000574830969898681	"YAL028W"
"YAL027W"	281.880607400499	0.33690015453949	0.138291198991844	2.43616482462749	0.0148439189879397	0.0999202872339334	"YAL027W"
"YAL026C-A"	6.17759455646878	0.621948524568278	0.668686282732054	0.930105104036501	0.352316668369293	NA	"YAL026C-A"
"YAL026C"	1188.35193344931	0.287820678219475	0.157290098586531	1.82987156093067	0.0672691469148016	0.195725070602172	"YAL026C"
"YAL025C"	1166.99526003452	0.269991169627389	0.1549226946901	1.7427476985697	0.0813776958050634	0.212639441470713	"YAL025C"
"YAL024C"	560.40356910576	0.151400471101739	0.135301321234948	1.11898738105325	0.263145522512322	0.376538868903206	"YAL024C"
"YAL023C"	2071.92523680868	0.159752460408714	0.138126674793366	1.15656487530522	0.247450179759331	0.362747300741141	"YAL023C"
"YAL022C"	678.34143229746	0.399830646866191	0.156175933644024	2.56012970460312	0.0104633103725147	0.0832145999668963	"YAL022C"
"YAL021C"	1184.60480392227	0.216470931129267	0.154754668619026	1.39880065048101	0.161872771201355	0.28976095251378	"YAL021C"
"YAL020C"	161.948436937352	0.482774430207647	0.257244041041469	1.87671764233335	0.0605568033118071	0.187055524717137	"YAL020C"
"YAL019W-A"	5.45863219751487	0.766902139474222	0.762381692694786	1.00592937477743	0.314449544673626	NA	"YAL019W-A"
"YAL019W"	1224.56295223684	0.239237706372861	0.145851470561398	1.64028312811664	0.100946311995866	0.233005661939421	"YAL019W"
"YAL018C"	6.55387542322657	0.639527416887798	0.787986161329376	0.811597269435393	0.417022758621438	NA	"YAL018C"
"YAL017W"	999.469301798668	0.265486754356878	0.142765800007562	1.85959630627795	0.062942662313733	0.19017488107213	"YAL017W"
"YAL016C-B"	0.232689243955619	0.317785985810334	3.74511352785654	0.0848534986847818	0.932377861065625	NA	"YAL016C-B"
"YAL016C-A"	3.6751249706365	0.578912455358005	1.10975313713088	0.521658768953524	0.601907936977779	NA	"YAL016C-A"
"YAL016W"	2191.89446635359	0.113091490893032	0.144243702703241	0.784030697864847	0.433022097883337	0.523879817063038	"YAL016W"
"YAL015C"	510.351066774535	0.338359645016	0.146318541530868	2.31248645233809	0.020750891047489	0.117870974899303	"YAL015C"
"YAL014C"	484.637306183989	0.275055716944975	0.143077028262599	1.92243101694946	0.0545515458839091	0.180559690750114	"YAL014C"
"YAL013W"	672.967586546083	0.411663103314547	0.15890251901537	2.59066442662706	0.0095790848306137	0.0799039223118482	"YAL013W"
"YAL011W"	319.5875647552	0.324761800534202	0.164375581201855	1.97573020371798	0.048185342166167	0.17282834312264	"YAL011W"
"YAL010C"	393.654163352429	0.238544203248741	0.141007244235106	1.69171594369299	0.0907001469937292	0.222461394106442	"YAL010C"
"YAL009W"	308.190710210139	0.276357080949241	0.154120900503521	1.79311877912968	0.0729539334864923	0.203141087519627	"YAL009W"
"YAL008W"	208.838003865064	0.47025111942994	0.170477120602942	2.75844123696342	0.00580777460376288	0.0625150911762994	"YAL008W"
"YAL007C"	898.516805964275	0.137540883914726	0.14829675344767	0.927470633827868	0.353682231996796	0.453782455901917	"YAL007C"
"YAL005C"	6745.98309382925	-0.187487977605958	0.153696105404058	-1.21986160360449	0.22251734350462	0.341142187910023	"YAL005C"
"YAL004W"	1.71969078487928	2.11105556601936	1.5607112321101	1.35262406176522	0.176175761439708	NA	"YAL004W"
"YAL003W"	6600.20090033915	-0.272889990338999	0.146822640431413	-1.8586369890717	0.0630786104109294	0.19028768924902	"YAL003W"
"YAL002W"	627.771526062925	0.2974106265304	0.131242349852841	2.26611781078195	0.023444171025775	0.124626543680635	"YAL002W"
"YAL001C"	855.159991468374	0.27263640599996	0.142312018324806	1.9157651560932	0.0553949947395925	0.18174500092302	"YAL001C"
"YAR002W"	1306.30709844874	0.273200644993723	0.134372720760963	2.03315556495817	0.0420368087294562	0.163322876332095	"YAR002W"
"YAR002C-A"	937.128816375533	0.186926000129929	0.157405648615121	1.18754315219646	0.235013445960225	0.351772794178115	"YAR002C-A"
"YAR003W"	502.988964499237	0.214473933046602	0.147407925055924	1.45496880825936	0.145677896916873	0.275238036962069	"YAR003W"
"YAR007C"	1119.45532284128	0.262498565494198	0.137733239018141	1.90584761794227	0.056669978840067	0.182863342813023	"YAR007C"
"YAR008W"	252.482725670174	0.345435522013369	0.15211678835274	2.2708573179467	0.0231556167934486	0.124288566605986	"YAR008W"
"YAR009C"	100.622507224914	-0.66624972026881	0.343335902757591	-1.94051864345573	0.0523166906685209	0.177631274064556	"YAR009C"
"YAR010C"	6.56750969963364	-0.895201832831479	0.751675125405856	-1.19094247311713	0.233676169176	NA	"YAR010C"
"YAR014C"	1219.8220244337	0.208437772487234	0.141544438890006	1.47259598555624	0.140860007926252	0.270909829197699	"YAR014C"
"YAR015W"	532.060652891651	0.0163179657921294	0.168323901838472	0.0969438422820574	0.922770991646781	0.939817253807744	"YAR015W"
"YAR018C"	459.736398502504	0.234326931186447	0.143324043084902	1.63494502487371	0.102060572660901	0.234484642217681	"YAR018C"
