"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Transcript.ID"
"YAL012W"	1984.78438604958	-0.185947448551788	0.154338466156359	-1.20480300979152	0.228279357815877	0.412002039600624	"YAL012W"
"YAL069W"	0	NA	NA	NA	NA	NA	"YAL069W"
"YAL068W-A"	0	NA	NA	NA	NA	NA	"YAL068W-A"
"YAL068C"	2.36854329743098	-0.135689799589271	1.04031577443237	-0.130431358366461	0.896225158108283	0.943891925172747	"YAL068C"
"YAL067W-A"	0	NA	NA	NA	NA	NA	"YAL067W-A"
"YAL067C"	53.1666456615388	1.33891780095293	0.286388293690875	4.67518341513686	2.93691016105774e-06	7.13405024290586e-05	"YAL067C"
"YAL066W"	1.43960720927571	0.276181171014875	1.73259163793973	0.159403499917204	0.873350981633469	0.930854964682795	"YAL066W"
"YAL065C"	1.39799967847563	-0.558798820797708	1.31380854045244	-0.425327438201361	0.670597994228093	0.800657436880998	"YAL065C"
"YAL064W-B"	50.3535811322298	0.0436582470460392	0.279768011771667	0.15605160421868	0.87599234514765	0.932092564615537	"YAL064W-B"
"YAL064C-A"	9.67830496170735	0.504615236285906	0.898298134719299	0.561745835577838	0.574289200483085	0.736143393866685	"YAL064C-A"
"YAL064W"	3.25348318152858	0.94951877778062	1.01417891369439	0.936243856936222	0.349147647235097	0.540723741918201	"YAL064W"
"YAL063C-A"	17.6973144972772	0.903259569692567	0.491947460749018	1.83608950499979	0.0663444202213057	0.178687260108453	"YAL063C-A"
"YAL063C"	41.7611172202339	0.628583140356554	0.259006036871293	2.42690536463795	0.0152282275386426	0.0606912334245776	"YAL063C"
"YAL062W"	68.6118936421917	0.516491521810819	0.244185915328822	2.11515689230195	0.0344165776299035	0.111082106271401	"YAL062W"
"YAL061W"	129.852186226815	-0.161081994945443	0.191175750833669	-0.842585915018012	0.399460071156656	0.592186436579403	"YAL061W"
"YAL060W"	799.252919751704	0.38917655813572	0.137844129910143	2.82330889526753	0.00475307527624085	0.0255594492011004	"YAL060W"
"YAL059C-A"	3.37420436544648	2.30115171290867	0.983872605070851	2.33887161920009	0.0193420787198595	0.0719546386679898	"YAL059C-A"
"YAL059W"	435.210001002597	0.40964538086814	0.182641692888641	2.24289084485166	0.0249038542835275	0.0870252888032036	"YAL059W"
"YAL058W"	334.394542675492	0.354271541022571	0.165955703600258	2.13473555495215	0.0327826170044563	0.107278352645574	"YAL058W"
"YAL056C-A"	2.08361074313448	-1.01694929508015	1.43301617715611	-0.709656535139983	0.477917151772381	0.660255442016385	"YAL056C-A"
"YAL056W"	986.847173707495	0.152993257522019	0.128034786965242	1.19493507310284	0.232112398328627	0.416651018322509	"YAL056W"
"YAL055W"	155.773353557598	0.413313380317269	0.179644825383026	2.30072521953266	0.0214071676521202	0.0775010905959185	"YAL055W"
"YAL054C"	95.7937955106212	0.383384114297702	0.229933161679906	1.66737199409026	0.095440459097857	0.229384950740155	"YAL054C"
"YAL053W"	2037.81555294828	0.253546801504052	0.140712860636279	1.80187369056074	0.0715652804142591	0.187427271151564	"YAL053W"
"YAL051W"	608.013666357794	0.539938596273698	0.13556849592378	3.98277337662036	6.81157018479763e-05	0.0009682270305569	"YAL051W"
"YAL049C"	440.478612799918	0.0707445260054516	0.148082720351627	0.477736536967084	0.63283773575822	0.777253602900236	"YAL049C"
"YAL048C"	461.875336582329	0.430281661068315	0.147669692387691	2.91381158930471	0.0035704532439957	0.0205889597778763	"YAL048C"
"YAL047W-A"	1.74714678173435	-0.525128921643397	1.36459900456182	-0.38482288195133	0.700368644898095	0.822035667646469	"YAL047W-A"
"YAL047C"	254.779522302338	0.258819150372644	0.161153644607642	1.60603969586159	0.108265188329859	0.251566749414436	"YAL047C"
"YAL046C"	137.34143575307	0.438005439779252	0.192434567750708	2.27612660707961	0.0228384330109516	0.0811131487140226	"YAL046C"
"YAL045C"	0.715941814456512	0.237459554102938	2.18088327756609	0.108882284781397	0.913295857793569	NA	"YAL045C"
"YAL044W-A"	131.173509960833	0.115129867083396	0.224575211602401	0.51265616655514	0.60819185667425	0.761111005080289	"YAL044W-A"
"YAL044C"	171.067467062101	0.163582994349084	0.199000457052496	0.822023209252888	0.411063687776772	0.603139357662672	"YAL044C"
"YAL043C"	954.173025486406	0.0336979881741112	0.134627253602561	0.250305842779743	0.802350838376462	0.891723338043046	"YAL043C"
"YAL042C-A"	2.09255591420511	-0.604355811803201	1.08266209669994	-0.558212773537871	0.576699099410851	0.737804597519327	"YAL042C-A"
"YAL042W"	1383.16717619569	-0.0137761784035171	0.210280216916703	-0.0655134306284941	0.947765213213826	0.973221452695493	"YAL042W"
"YAL041W"	996.172322812792	-0.214753224089462	0.136103392677591	-1.57786826518117	0.114595876910483	0.261358289353608	"YAL041W"
"YAL040C"	1149.57348482734	0.21745418114786	0.145223956152503	1.49737128025562	0.134296676921777	0.290507102224814	"YAL040C"
"YAL039C"	621.383925660815	-0.677065738843057	0.213076457010907	-3.17757178968111	0.00148513917362034	0.0105910774363389	"YAL039C"
"YAL038W"	19376.1023837765	0.0160307897574437	0.153623582231685	0.104351099776251	0.916890727465361	0.95685464216927	"YAL038W"
"YAL037C-B"	5.62834424622522	-0.0886096145182547	0.666493473309061	-0.132948960592695	0.894233745600557	0.942267385549985	"YAL037C-B"
"YAL037C-A"	0.474681908661644	1.20911472160612	2.44878429584124	0.493761220071346	0.621474823815825	NA	"YAL037C-A"
"YAL037W"	77.6426842850125	0.640880277058857	0.262491444852182	2.44152824645298	0.0146252441612733	0.0588091714454264	"YAL037W"
"YAL036C"	1283.19259836407	0.646187274466758	0.158340743857591	4.08099178217787	4.48439407533767e-05	0.000700700483682414	"YAL036C"
"YAL035W"	3674.26467272632	0.210732816214487	0.147797089752799	1.425825207837	0.153918802659943	0.317051586637116	"YAL035W"
"YAL034C-B"	0.543719317428702	1.19925328978303	2.4238846720506	0.494764995880957	0.620766015888206	NA	"YAL034C-B"
"YAL034W-A"	233.730628818324	0.0772269985858433	0.164133996075191	0.470511901449502	0.637989333249951	0.781598994450378	"YAL034W-A"
"YAL034C"	252.859893968752	0.359526215173543	0.145989940281909	2.46267800698658	0.0137903699550897	0.0564249250209226	"YAL034C"
"YAL033W"	154.938704670697	-0.176512396776411	0.191264411047798	-0.922871096663665	0.356074384614339	0.547945669251532	"YAL033W"
"YAL032C"	335.31519809509	-0.0566723691769122	0.152634844009178	-0.371293786453535	0.710418725426118	0.828580610114515	"YAL032C"
"YAL031W-A"	1.245460472696	-0.207761622938758	1.42410406460833	-0.145889354649021	0.884008735434307	0.936192903974072	"YAL031W-A"
"YAL031C"	542.342937653088	0.103814215401726	0.136669334761345	0.759601380829202	0.447492893506063	0.636373701537416	"YAL031C"
"YAL030W"	217.450704664665	0.0877940194884682	0.190524938716758	0.460800670399302	0.644941620718294	0.787358934793155	"YAL030W"
"YAL029C"	1693.08041844059	-0.0618428939267597	0.156499627958562	-0.395163200919139	0.692722448661283	0.816408994800692	"YAL029C"
"YAL028W"	164.991651383721	0.869834539100426	0.158463544609033	5.48917759757622	4.03809452259673e-08	1.91187076757832e-06	"YAL028W"
"YAL027W"	281.880607400499	0.782674531227895	0.13779981909502	5.6797936047231	1.34857373003556e-08	7.58211498038741e-07	"YAL027W"
"YAL026C-A"	6.17759455646878	0.409834383437768	0.71123248628764	0.576231248346017	0.564458886434215	0.729406445285502	"YAL026C-A"
"YAL026C"	1188.35193344931	-0.0307796097728473	0.158015647107546	-0.19478836644512	0.845558630076954	0.916276491756079	"YAL026C"
"YAL025C"	1166.99526003452	0.237740989590622	0.155811260388064	1.52582675346123	0.127053016051527	0.279738755970792	"YAL025C"
"YAL024C"	560.40356910576	0.0498178645304036	0.135483948250361	0.367703076074704	0.713094646634871	0.830010534170015	"YAL024C"
"YAL023C"	2071.92523680868	-0.00997167646106148	0.138573048173105	-0.0719597107267564	0.942633970873291	0.97116592188958	"YAL023C"
"YAL022C"	678.34143229746	-0.00865291674865265	0.158565337257068	-0.0545700396967872	0.956481008037624	0.977277447284264	"YAL022C"
"YAL021C"	1184.60480392227	-0.0809813538394332	0.155909407286903	-0.519412877315427	0.60347285326362	0.758082984005763	"YAL021C"
"YAL020C"	161.948436937352	-0.351703469430189	0.262173683904067	-1.34149035934088	0.179761297720008	0.351430267538929	"YAL020C"
"YAL019W-A"	5.45863219751487	0.263758927505615	0.754895646817252	0.349397865278016	0.726790635726048	0.840286589869108	"YAL019W-A"
"YAL019W"	1224.56295223684	0.132109894908844	0.146524819610716	0.901621276585294	0.367258084667943	0.55965306833997	"YAL019W"
"YAL018C"	6.55387542322657	1.74241851257658	0.783695197680356	2.22333697811844	0.026193085833751	0.0905754319028719	"YAL018C"
"YAL017W"	999.469301798668	-0.108908227947124	0.14357294904984	-0.758556738354085	0.448117760048925	0.636974612873156	"YAL017W"
"YAL016C-B"	0.232689243955619	0	3.84875073005814	0	1	NA	"YAL016C-B"
"YAL016C-A"	3.6751249706365	1.31273053837656	0.820630901777426	1.59966013409108	0.109674000321711	0.253810062486518	"YAL016C-A"
"YAL016W"	2191.89446635359	-0.18148386598035	0.144793005059174	-1.2534021647398	0.210059384066461	0.38995988840404	"YAL016W"
"YAL015C"	510.351066774535	-0.0796819309562652	0.145974683644964	-0.545861302567133	0.585161280438869	0.74394520147861	"YAL015C"
"YAL014C"	484.637306183989	0.0176522366748682	0.144357845799403	0.122281103442049	0.902676396951362	0.946859524827133	"YAL014C"
"YAL013W"	672.967586546083	-0.26922811134248	0.160167543583477	-1.68091552956958	0.0927793230833914	0.224617992101544	"YAL013W"
"YAL011W"	319.5875647552	0.000962412567642842	0.16686634604973	0.0057675654224251	0.995398174109185	0.997952798941986	"YAL011W"
