"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Transcript.ID"
"YAL012W"	1666.15055133296	-0.779402358979404	0.167877615075045	-4.64268186458924	3.43915687818602e-06	9.54444913441534e-05	"YAL012W"
"YAL069W"	0.0538366371292021	-0.899863662019256	7.06755688691924	-0.127323157976236	0.898684632053607	NA	"YAL069W"
"YAL068W-A"	0	NA	NA	NA	NA	NA	"YAL068W-A"
"YAL068C"	3.08393106990771	0.0607753006108362	1.0025216003735	0.0606224350559563	0.951659905791693	0.973544543462926	"YAL068C"
"YAL067W-A"	0	NA	NA	NA	NA	NA	"YAL067W-A"
"YAL067C"	316.410453944092	-1.01322004327207	0.174423916819373	-5.80895132816747	6.28653602345277e-09	3.19609604553691e-07	"YAL067C"
"YAL066W"	2.35635682233245	0.494192429232753	1.29701662057014	0.381022433633515	0.703186602283308	0.828164092624881	"YAL066W"
"YAL065C"	2.37077469553472	1.66445617477572	1.34183803978165	1.24043001124529	0.214816386329459	0.425614888325935	"YAL065C"
"YAL064W-B"	46.4212539889266	0.373499955996076	0.272244246961795	1.37192965568338	0.170085337380812	0.374732808140537	"YAL064W-B"
"YAL064C-A"	5.83693890947348	1.67413007500185	0.768114508207083	2.17953190196807	0.0292921774113516	0.132251995028863	"YAL064C-A"
"YAL064W"	3.23783675890379	1.84691144874246	0.976024387575501	1.89228002112764	0.0584536814214963	0.201085897715653	"YAL064W"
"YAL063C-A"	21.2008086505086	0.169815280389822	0.383491797675834	0.442813331129879	0.657900759954731	0.797016339152207	"YAL063C-A"
"YAL063C"	58.8946353797792	0.600643101746697	0.276165481153682	2.17493909534786	0.0296346807161712	0.133300980173112	"YAL063C"
"YAL062W"	44.1123550400142	1.31257527971722	0.266324240875852	4.92848595156263	8.28692920067503e-07	2.68106532963016e-05	"YAL062W"
"YAL061W"	72.4938014945117	0.83964419837619	0.274294568811917	3.06110398763285	0.00220522491806496	0.0214151055446116	"YAL061W"
"YAL060W"	370.967935509834	-0.198799051985259	0.186350430021082	-1.0668022175359	0.28606115701249	0.497748058649861	"YAL060W"
"YAL059C-A"	2.63167759395148	1.48690788052602	1.19021602542831	1.2492756346403	0.211564276483742	0.422290951081042	"YAL059C-A"
"YAL059W"	481.799808710469	0.038165909973463	0.170137671449544	0.224323688271363	0.822505445267266	0.900193823028832	"YAL059W"
