gene_id	gene_name	class	Huisinga_class
YPR036W-A	SPO24	CR	
YLR109W	AHP1	CR	SAGA-dominated
YHR179W	OYE2	CR	TFIID-dominated
YGR209C	TRX2	CR	SAGA-dominated
YOL151W	GRE2	CR	SAGA-dominated
YGR192C	TDH3	CR	SAGA-dominated
YOL109W	ZEO1	CR	SAGA-dominated
YLR110C	CCW12	CR	SAGA-dominated
YDL184C	RPL41A	TFIID	TFIID-dominated
YDL133C-A	RPL41B	TFIID	no call
YDR524C-B	YDR524C-B	CR	
YGL008C	PMA1	CR	SAGA-dominated
YPL240C	HSP82	CR	SAGA-dominated
YMR186W	HSC82	CR	TFIID-dominated
YBR244W	GPX2	CR	SAGA-dominated
YNL134C	YNL134C	CR	SAGA-dominated
YHR174W	ENO2	CR	SAGA-dominated
YCR012W	PGK1	CR	SAGA-dominated
YGR142W	BTN2	CR	TFIID-dominated
YML028W	TSA1	CR	SAGA-dominated
YOR298C-A	MBF1	CR	
YLR075W	RPL10	CR	TFIID-dominated
YLL024C	SSA2	CR	TFIID-dominated
YKL152C	GPM1	CR	SAGA-dominated
YML131W	YML131W	CR	no call
YCR024C-A	PMP1	CR	SAGA-dominated
YOR153W	PDR5	CR	SAGA-dominated
YPL187W	MF(ALPHA)1	CR	SAGA/TFIID
YLR460C	YLR460C	CR	TFIID-dominated
YDR353W	TRR1	CR	TFIID-dominated
YGR055W	MUP1	CR	SAGA-dominated
YJR104C	SOD1	CR	SAGA-dominated
YDR011W	SNQ2	CR	SAGA-dominated
YNL031C	HHT2	CR	TFIID-dominated
YGR155W	CYS4	CR	TFIID-dominated
YKL060C	FBA1	CR	SAGA-dominated
YEL017C-A	PMP2	CR	SAGA-dominated
YAL005C	SSA1	CR	TFIID-dominated
YPL061W	ALD6	CR	SAGA-dominated
YJR045C	SSC1	CR	TFIID-dominated
YAL038W	CDC19	CR	SAGA-dominated
YLL026W	HSP104	CR	no call
YNL030W	HHF2	CR	SAGA-dominated
YBR008C	FLR1	CR	TFIID-dominated
YLR249W	YEF3	CR	TFIID-dominated
YDR050C	TPI1	CR	SAGA-dominated
YOR369C	RPS12	TFIID	TFIID-dominated
YGR234W	YHB1	CR	SAGA/TFIID
YER091C	MET6	CR	SAGA-dominated
YJL034W	KAR2	CR	TFIID-dominated
YLR355C	ILV5	CR	SAGA-dominated
YCL026C-A	FRM2	CR	
YIL053W	GPP1	CR	SAGA-dominated
YDR224C	HTB1	CR	TFIID-dominated
YDR225W	HTA1	CR	TFIID-dominated
YLR044C	PDC1	CR	SAGA-dominated
YLR325C	RPL38	TFIID	TFIID-dominated
YLR108C	YLR108C	CR	TFIID-dominated
YJR123W	RPS5	TFIID	TFIID-dominated
YNL178W	RPS3	TFIID	TFIID-dominated
YLR167W	RPS31	TFIID	TFIID-dominated
YNL007C	SIS1	CR	SAGA-dominated
YBR009C	HHF1	CR	TFIID-dominated
YHL015W	RPS20	TFIID	TFIID-dominated
YBR101C	FES1	TFIID	TFIID-dominated
YNL064C	YDJ1	TFIID	TFIID-dominated
YOR020C	HSP10	TFIID	TFIID-dominated
YDL081C	RPP1A	TFIID	TFIID-dominated
YBL002W	HTB2	CR	TFIID-dominated
YEL009C	GCN4	CR	TFIID-dominated
YOR027W	STI1	CR	TFIID-dominated
YHR055C	CUP1-2	CR	SAGA-dominated
YDL124W	YDL124W	CR	SAGA-dominated
YDL055C	PSA1	CR	SAGA-dominated
YEL034W	HYP2	CR	TFIID-dominated
YBR010W	HHT1	CR	TFIID-dominated
YPL106C	SSE1	TFIID	TFIID-dominated
YEL071W	DLD3	CR	SAGA-dominated
YAL003W	EFB1	CR	TFIID-dominated
YMR058W	FET3	CR	TFIID-dominated
YDR382W	RPP2B	TFIID	TFIID-dominated
YCR005C	CIT2	CR	SAGA-dominated
YEL046C	GLY1	CR	TFIID-dominated
YLR441C	RPS1A	TFIID	TFIID-dominated
YOL086C	ADH1	CR	SAGA-dominated
YMR318C	ADH6	CR	TFIID-dominated
YPR149W	NCE102	CR	SAGA-dominated
YKL096W-A	CWP2	CR	
YKL056C	TMA19	CR	TFIID-dominated
YCR024C-B	YCR024C-B	CR	
YGL253W	HXK2	CR	TFIID-dominated
YLR259C	HSP60	TFIID	TFIID-dominated
YPL131W	RPL5	TFIID	TFIID-dominated
YBL003C	HTA2	CR	TFIID-dominated
YOR063W	RPL3	CR	TFIID-dominated
YDL020C	RPN4	CR	TFIID-dominated
YNL231C	PDR16	CR	SAGA-dominated
YHR162W	MPC2	CR	SAGA-dominated
YCL026C-B	HBN1	CR	
